siren,nom,date_creation
047011721,PHILIPPE LEANDRI (APPLE PIE),1970-01-01
071201594,LES VERGERS D'ANJOU,1900-01-01
301026811,APPLE GROUP ETUD ANTIPOL PROTE,1975-12-25
302640008,RAUTUREAU APPLE SHOES,1975-03-01
304764640,APPLE SHOES,1976-12-25
309753770,APPLE BEE ET COMPAGNIE,1977-01-01
312068869,PIREYRE FUEL (BIG APPLE),1978-01-01
312147770,ARPEGE,1978-01-01
313731853,APPLE PIE,1978-01-01
315127753,CAPLASER TOULOUSE (CAPLASER),1979-01-01
317540250,APPLE FILMS,1979-01-01
319012464,PINE APPLE,1980-05-08
319489795,INTERNATIONAL COMPUTER (APPLE CENTER),1980-07-03
319762878,GPT CTRE COMMERCES LOISIRS QUATRE TEMPS,1980-09-10
319995684,BIG APPLE,1980-10-01
320552607,VM 2 JUNIOR (APPLE PIE),1980-12-01
321227852,APPLE EUROPE INC.,1981-02-01
321374621,INFORMATIQUE SERVICE (APPLE CENTER),1981-02-19
321390148,MICRO ALPHA SOFT (APPLE),1981-01-01
322120916,APPLE FRANCE (APPLE),1981-10-01
323790782,SCI RAUTUREAU,1981-07-01
326965993,APPLE EDUCATION,1982-07-08
327375994,PINE APPLE,1983-03-01
327503850,UNION DES SOCIETES MANITOU-APPLE (UNIMAP),1983-05-01
329302608,APPLE OPERATIONS INTERNATIONAL,1983-12-10
331037283,SCP APPLE,1975-05-30
331292417,CLUB APPLE,1984-05-18
331517938,SCI APPLE,1985-01-10
333392116,APPLE 44,1985-08-01
335309787,GREEN APPLE,1986-04-15
335357117,BLUE APPLE DIFFUSION SET SPORT PROMOTION,1986-04-01
337968622,SCI GOLD APPLE,1986-05-09
348053281,GREEN APPLE JACKY S,1988-09-01
349600122,GIE  CTRE CIAL ATLANTIS LE CENTRE,1988-05-25
350229969,SCI APPLE,1989-02-24
351008677,ARAL APPLE,1989-04-21
351903851,SARL APPLE CRUMBLE (LA GUEULE DES BOIS),1989-08-21
352956833,SYLVIE GAVARD (AU BOUDOIR CANIN),1990-01-02
353648637,CB PARTICIPATION (APPLE HOTEL),1990-04-02
378571038,APPLEX,1990-06-19
382702967,SCI APPLE,1991-07-16
383318185,SCI P.O.M,1991-10-01
384120713,P.M.S.,1992-01-15
385059126,APPLE FINE FRANCE,1992-03-25
389063660,GENEVIEVE PAUTONNIER (CADILHAC),1992-07-01
390662146,NEW APPLE,1993-03-01
390856078,APPLE COMPUTER MARKETING BV,1982-01-01
391985744,ASSOCIATION GRANDS UTILISATEURS APPLE (AGUA),1993-05-19
393147244,APPLE MEDICAL EUROPE,1993-11-22
393381009,APPLE-TEX,1994-01-01
394385595,APPLE ARTS,1993-10-01
394822324,BIG APPLE ROCK,1994-04-26
398113142,APPLE PIE (INSTITUT DE BEAUTE YVES ROCHER),1994-07-29
398520619,ANNE-MARIE POULLAIN (APPLE),1994-10-03
398875112,APPLE-WAY (FRUIT-WAY),1994-11-01
398891531,SCI BIG APPLE,1994-11-07
401429261,KARIM SEKKAL (GYZRO WEAR),1995-06-15
402477178,VULMIX (BIG APPLE),1995-11-01
402740112,APPLE FRUIT 95,1995-11-02
402762363,BIG APPLE PUB (BAP),1995-11-10
402863252,ASS POUR PROMOTION LANGUES ETRANGERES (APPLE),1995-09-18
404365405,BIG APPLE,1996-03-22
408004323,APPLE,1993-10-01
408137727,ERIC MASSON (SALON LAVOIR GTI),1996-07-02
408339224,APPLE FIELD,1996-06-05
410273742,RICHARD SANCHEZ (BIG APPLE),1997-01-03
411391766,APPLE COMPUTER (ACCESSORIES) LIMITED (ACAL),1997-02-01
412457418,SCI APPLE JY,1997-05-07
414385047,SAS APPLE JACK,1997-12-08
420531220,ASSOCIATION POUR L'ECOLE DES BRUYERES (APPLE),1998-09-03
420789059,MOHAMMED MOHAMMED MERABET,1998-11-20
421889726,MOULIN DE SAINT PAER SARL,1999-01-04
422804880,HOLDING APPLE STAR,1999-04-15
423371905,APPLE PAILLE,1998-04-20
429381171,DDC PARTNERS LIMITED,1999-07-01
430312066,APPLE GREEN MANAGEMENT,2000-03-01
431036219,ASS  GROUPE UTILISATEURS APPLE EDUCATION,1998-12-28
432162261,APPLE PIE,2000-05-03
433372257,SARL APPLE BLUE,2000-11-01
435235387,PROTECTION SECURITE INCENDIE (APPPLE BIO) (PSI),2001-04-02
437585805,BIG APPLE,2001-03-15
437713464,APPLE TREE,2001-04-27
438726069,APPLE,2001-06-01
438882037,SKIALOT LTD,2000-12-15
440059202,APPLE BIO,2001-10-01
441663473,DIGITAL ZEBRA,2002-03-18
441842218,ARCIS FLECHETTES ELECTRONIQUE (THE APPLE BOYS),2002-01-01
441853488,CARTUS CORPORATION,2002-04-01
442018123,JEFFREY APPLE,2002-03-18
442385761,APPLE PIE,2002-06-12
442619789,APPLE 3,2002-06-19
443105077,RHUBARB'N CUSTARD (BEN'N ED'S GOLDEN APPLE),2002-08-09
444046783,BLUE APPLE (LA POMME BLEUE),2002-10-23
444781843,FRANCK GAIDDON (L'APPLE BAR),2003-01-02
445192115,EURL APPLE PIE (LA POMMERAIE),2003-02-03
448480897,BIG APPLE,2003-04-21
450941489,SARL APPLE,2003-11-25
451789705,BIG APPLE FILMS,2004-01-22
451883680,SCI APPLE BIS,2003-12-16
452413800,ONE APPLE A DAY (O.A.D) (O A D),2004-03-05
452508716,A-APPLE,2004-03-01
478345184,APPLE TREE,2004-07-05
479516023,HEIKE ALTSCHER (APPLE TREE),2004-12-01
480102888,FIVE LADIES (THE BIG APPLE),2005-01-03
480320183,A1 APPLE SERVICES,2005-01-07
480693084,VALERIE DELHAYE (APPLE BLOSSOM),2005-03-01
482206794,DAVID APPLE,2005-05-02
482856283,APPLE GATE COLLATOS INC,2005-05-01
483070223,COPPELIA INVESTMENTS LIMITED,1998-07-01
483209383,APPLE RETAIL FRANCE EURL,2005-06-13
483426607,WORLDWIDE FRUIT LTD,2005-05-01
488150517,APPLE USERS GROUP-MACMARTINIQUE,2005-10-10
488491226,APPLE,2006-02-08
489222174,APPLE BACK ASSOCIES,2005-03-29
490404936,APPLE AND ORANGES,2006-05-18
492478573,ORANGE PRESSING (THE APPLE PINK),2006-10-19
493022776,GREEN APPLE (GREEN APPLE),2006-12-01
493276372,GOLDEN APPLE,2006-12-11
493324057,SCI APPLE WOOD,2006-12-15
493987275,APPLE PIE (MOG),2007-01-02
495141400,APPLE BUILDING CENTER,2007-03-20
498089358,BIG APPLE,2007-04-25
498380591,MOD APPLE,2007-04-17
498853548,ASKAR APPLE FRENCH GP SAS,2007-06-29
498855352,ASKAR APPLE FRENCH LP EURL,2007-06-29
498931302,ASKAR APPLE FRENCH HOLDCO SCS,2007-07-04
499752152,SCI APPLE,2007-06-02
501464424,SCI APPLE,2007-11-22
501726590,APPLE WIND (APPLE-WIND),2007-12-27
